date,day_index,reservoir_level_m,temperature_c,is_anomaly,piezometer_P1_m,piezometer_P2_m,piezometer_P3_m,piezometer_P4_m,piezometer_P5_m,piezometer_P6_m,piezometer_P7_m,piezometer_P8_m,displacement_D1_mm,displacement_D2_mm,displacement_D3_mm
2019-03-25,83,39.485,13.03,0,35.252,28.14,22.213,17.499,13.109,8.861,5.513,2.275,-0.171,-0.0036,0.0851
2019-03-26,84,38.766,13.53,0,34.513,27.631,21.912,16.859,12.913,9.569,5.158,2.245,-0.2049,-0.0236,0.0347
2019-03-27,85,38.136,14.91,0,33.946,27.06,21.632,16.905,13.041,8.879,5.317,2.471,0.0949,0.0642,0.0668
2019-03-28,86,38.08,12.39,0,33.369,27.088,21.696,16.487,12.791,8.97,5.31,2.024,-0.3306,-0.05,-0.002
2019-03-29,87,38.23,15.38,0,33.585,27.228,21.366,16.84,12.661,9.084,5.292,2.404,0.0329,0.1218,0.009
2019-03-30,88,38.862,14.82,0,34.408,27.642,21.814,17.612,13.235,9.397,5.206,2.3,0.0473,0.0997,0.181
2019-03-31,89,38.221,13.44,0,33.956,27.312,21.27,16.929,13.234,9.273,4.893,2.735,-0.1686,-0.0012,0.0331
2019-04-01,90,37.336,16.1,0,33.065,26.812,20.917,16.276,12.37,8.774,5.243,2.527,0.2441,0.1202,0.1093
2019-04-02,91,37.271,15.95,0,33.378,26.737,21.023,16.212,12.656,8.66,5.287,2.156,0.2222,0.0962,0.0203
2019-04-03,92,38.041,15.62,0,33.646,27.184,21.461,16.5,12.753,8.91,5.381,2.32,0.1839,0.0725,0.0726
2019-04-04,93,37.153,16.07,0,33.252,26.392,21.103,16.484,12.247,8.295,5.281,2.016,0.2229,0.0402,0.1502
2019-04-05,94,38.272,15.78,0,34.201,27.117,21.284,17.095,12.836,8.964,5.31,2.355,0.2047,0.1621,0.123
2019-04-06,95,38.378,16.24,0,34.416,27.057,21.879,16.552,13.091,9.1,5.174,2.092,0.2025,0.2725,0.0527
2019-04-07,96,37.988,16.18,0,33.833,27.051,21.018,16.267,12.933,8.848,5.126,2.693,0.2222,0.1977,0.019
2019-04-08,97,37.321,18.64,0,33.007,26.483,21.221,16.246,12.551,8.814,5.124,2.39,0.6962,0.3118,0.2188
2019-04-09,98,38.089,18.08,0,34.007,26.827,21.447,16.454,12.959,9.228,4.915,2.463,0.5723,0.2398,0.1205
2019-04-10,99,37.701,16.29,0,33.187,26.481,21.413,16.516,12.965,9.241,5.234,1.998,0.262,0.243,0.1235
2019-04-11,100,37.794,19.06,0,33.795,26.896,21.496,16.642,12.534,9.351,5.434,2.476,0.6535,0.3209,0.1704
2019-04-12,101,37.383,15.98,0,33.059,26.569,21.017,16.451,12.607,8.736,4.766,2.563,0.2298,0.1002,0.2018
2019-04-13,102,37.041,19.08,0,32.505,26.607,20.562,15.96,12.611,8.63,5.182,2.09,0.5707,0.2348,0.0931
2019-04-14,103,36.227,18.76,0,32.137,25.523,20.328,15.885,12.426,8.816,5.231,2.131,0.6208,0.2567,0.2213
2019-04-15,104,37.041,18.16,0,32.869,26.618,20.602,15.904,12.546,8.751,5.023,2.14,0.5479,0.2798,0.1393
2019-04-16,105,36.954,18.83,0,32.858,26.026,20.728,16.01,12.802,9.097,5.02,2.238,0.7152,0.2676,0.1519
2019-04-17,106,36.482,19.82,0,32.257,25.907,20.382,16.007,12.326,8.724,4.941,2.589,0.7651,0.3392,0.1393
2019-04-18,107,36.187,20.47,0,32.248,25.801,20.025,15.645,12.216,8.5,5.37,2.386,0.8319,0.3219,0.1909
2019-04-19,108,35.94,16.44,0,32.014,25.653,20.282,16.093,12.12,8.373,4.633,2.372,0.2688,0.1494,0.0465
2019-04-20,109,36.057,16.78,0,32.427,25.74,20.328,15.752,12.01,8.361,4.997,2.131,0.2981,0.1719,0.0718
2019-04-21,110,35.727,17.6,0,31.523,25.48,20.144,15.609,12.173,8.585,5.102,2.386,0.53,0.2024,0.1321
2019-04-22,111,37.269,17.54,0,32.923,26.484,21.058,16.452,12.586,8.557,4.946,2.192,0.4228,0.2268,0.041
2019-04-23,112,35.962,19.27,0,32.204,25.671,20.119,15.907,12.054,8.58,4.95,2.408,0.5828,0.285,0.1512
2019-04-24,113,36.25,21.38,0,31.832,26.019,20.478,15.843,12.288,7.994,5.22,2.274,1.041,0.363,0.134
2019-04-25,114,36.929,20.87,0,33.143,26.513,20.701,15.842,12.557,8.72,4.936,2.194,0.858,0.3875,0.2153
2019-04-26,115,36.245,19.22,0,32.297,25.548,20.215,15.647,12.23,8.964,4.891,2.237,0.6708,0.2568,0.1059
2019-04-27,116,35.5,20.61,0,31.879,25.437,19.813,15.194,12.071,8.724,4.927,2.21,0.9605,0.3289,0.1143
2019-04-28,117,35.988,20.52,0,31.322,25.691,20.215,15.868,12.367,8.235,5.162,2.133,0.8912,0.2974,0.245
2019-04-29,118,35.117,20.94,0,31.09,25.22,19.704,15.603,11.741,8.097,4.592,2.219,0.9594,0.3107,0.1373
2019-04-30,119,35.124,18.79,0,31.089,24.995,19.887,15.182,12.037,7.956,4.81,2.194,0.6734,0.2503,0.1658
2019-05-01,120,35.49,21.67,0,31.31,25.545,19.701,15.907,11.749,8.587,5.02,2.189,1.0472,0.3739,0.1843
2019-05-02,121,35.115,20.34,0,30.937,25.059,19.527,15.57,11.577,8.272,4.638,2.083,0.8833,0.3037,0.21
2019-05-03,122,35.294,22.71,0,31.547,25.416,19.976,15.454,12.009,8.202,5.074,2.3,1.2238,0.4837,0.2737
2019-05-04,123,35.267,24.4,0,31.197,24.886,19.931,15.258,11.717,8.148,5.087,2.378,1.4835,0.5214,0.2138
2019-05-05,124,34.159,20.56,0,30.299,24.8,19.143,14.852,11.42,8.435,4.604,2.115,0.9386,0.3185,0.1368
2019-05-06,125,35.068,21.84,0,31.018,24.484,19.521,15.474,12.03,8.265,4.496,2.251,1.0198,0.4648,0.2093
2019-05-07,126,35.069,20.8,0,30.991,24.993,19.683,15.445,11.799,8.639,5.009,2.482,0.9112,0.263,0.2121
2019-05-08,127,35.113,19.89,0,31.193,24.877,19.625,15.557,11.6,8.116,4.901,2.074,0.7421,0.2869,0.1063
2019-05-09,128,34.339,21.33,0,30.743,24.36,19.042,15.044,11.575,8.19,4.896,2.05,0.957,0.3511,0.1295
2019-05-10,129,34.638,21.93,0,30.714,24.513,19.343,14.936,11.706,8.029,4.81,2.376,1.0468,0.4031,0.1899
2019-05-11,130,34.423,21.58,0,30.472,24.333,18.975,15.059,11.546,8.161,4.682,2.234,1.076,0.357,0.1647
2019-05-12,131,33.58,21.69,0,29.698,23.998,19.269,14.83,11.409,7.932,4.587,1.966,1.0839,0.263,0.2276
2019-05-13,132,34.573,22.03,0,30.804,24.409,19.158,15.2,11.447,7.944,4.749,1.907,1.0675,0.4727,0.2529
2019-05-14,133,34.267,23.03,0,30.034,24.364,19.129,14.843,11.678,8.264,4.365,1.856,1.2427,0.472,0.2434
2019-05-15,134,33.448,22.69,0,29.644,23.932,18.481,14.434,11.228,7.757,4.391,1.922,1.1745,0.4861,0.1995
2019-05-16,135,34.474,21.86,0,31.058,24.605,19.497,15.309,11.658,8.36,4.797,1.881,1.0915,0.3551,0.2016
2019-05-17,136,33.609,22.84,0,29.774,23.848,18.835,14.692,11.488,7.83,4.548,2.047,1.1777,0.306,0.1384
2019-05-18,137,33.934,25.01,0,30.097,24.09,19.249,14.639,11.404,7.655,4.698,2.128,1.5699,0.4947,0.2736
2019-05-19,138,33.443,22.95,0,29.293,23.686,18.81,14.568,11.303,7.958,4.454,1.794,1.2512,0.3776,0.2362
2019-05-20,139,33.844,23.07,0,30.035,24.184,18.968,14.879,11.463,8.01,4.518,2.064,1.3203,0.5382,0.2433
2019-05-21,140,33.12,24.03,0,29.39,23.487,18.573,14.448,11.087,7.218,4.742,2.026,1.3289,0.5974,0.267
2019-05-22,141,34.998,24.53,0,30.964,24.813,19.875,15.067,11.528,7.971,5.236,1.84,1.551,0.6291,0.3064
2019-05-23,142,33.727,24.14,0,30.079,24.235,19.199,14.872,11.201,8.117,4.63,2.161,1.4479,0.5526,0.2896
2019-05-24,143,33.631,25.84,0,29.792,23.813,18.832,14.835,11.472,8.18,4.642,1.836,1.6698,0.4722,0.3228
2019-05-25,144,32.127,24.52,0,28.683,22.587,18.188,14.153,10.918,7.449,4.249,2.069,1.5,0.5608,0.2472
2019-05-26,145,32.697,23.35,0,29.217,23.092,17.979,14.349,10.693,7.649,3.8,2.125,1.2168,0.5403,0.1288
2019-05-27,146,32.052,24.24,0,28.295,22.667,18.231,13.976,11.097,7.794,4.526,2.132,1.4617,0.449,0.2142
2019-05-28,147,32.842,26.15,0,29.247,23.246,18.4,13.999,10.948,7.72,4.368,1.984,1.6414,0.6068,0.2168
2019-05-29,148,32.59,27.85,0,28.719,23.151,18.781,14.259,11.016,7.7,4.296,1.913,2.0676,0.6468,0.3191
2019-05-30,149,32.32,26.7,0,28.395,23.099,18.033,13.612,11.031,7.552,4.358,1.772,1.69,0.6826,0.1973
2019-05-31,150,33.444,27.65,0,29.121,23.728,18.504,14.507,11.284,7.936,4.464,1.784,2.0037,0.6197,0.3179
2019-06-01,151,32.272,26.82,0,28.332,22.797,18.364,13.491,10.643,8.084,4.215,1.902,1.7329,0.571,0.1833
2019-06-02,152,31.968,25.4,0,28.275,22.528,17.734,13.787,10.528,7.526,4.422,1.485,1.6034,0.6036,0.2213
2019-06-03,153,32.258,26.22,0,28.705,22.993,18.221,13.983,10.846,7.589,4.425,2.075,1.7422,0.5819,0.2832
2019-06-04,154,32.167,23.71,0,28.255,22.653,17.777,13.76,11.109,7.608,4.353,1.758,1.3064,0.4497,0.1133
2019-06-05,155,32.662,28.11,0,28.722,22.966,18.257,14.22,10.704,7.418,4.014,2.021,2.0322,0.736,0.3485
2019-06-06,156,32.612,26.87,0,28.74,23.18,17.957,14.214,10.9,8.077,3.962,1.854,1.8146,0.5771,0.2177
2019-06-07,157,31.288,26.68,0,27.414,21.928,17.299,13.323,10.36,7.225,4.224,1.956,1.6777,0.6562,0.2542
2019-06-08,158,31.318,23.98,0,28.072,21.908,17.362,13.618,10.347,7.358,4.196,1.772,1.4074,0.4277,0.2544
2019-06-09,159,31.433,24.12,0,27.333,22.379,17.382,13.396,10.255,6.981,4.125,1.812,1.4102,0.5181,0.1148
2019-06-10,160,31.912,24.36,0,28.087,22.359,17.623,13.727,10.5,7.012,4.194,1.728,1.4484,0.5362,0.2206
2019-06-11,161,31.909,27.41,0,27.942,22.644,18.31,13.765,10.422,7.349,4.18,1.942,1.9781,0.6984,0.3123
2019-06-12,162,30.659,27.6,0,26.918,21.702,17.129,13.408,9.92,6.656,4.159,1.803,1.9346,0.648,0.2565
2019-06-13,163,31.337,25.65,0,27.81,22.241,17.271,13.789,10.093,7.262,3.912,1.876,1.61,0.5939,0.2261
2019-06-14,164,30.954,25.47,0,27.335,21.901,17.395,13.233,10.492,7.25,4.067,1.431,1.552,0.4649,0.2132
2019-06-15,165,31.046,28.33,0,27.341,21.728,16.967,13.525,10.246,7.338,4.194,1.32,2.0768,0.6882,0.3763
2019-06-16,166,31.08,27.65,0,27.664,21.988,17.062,13.188,10.119,7.117,3.883,1.63,2.0044,0.6647,0.2632
2019-06-17,167,31.568,25.21,0,27.816,22.393,17.421,13.697,10.275,7.557,4.269,1.636,1.5375,0.4755,0.2831
2019-06-18,168,29.745,23.69,0,26.067,21.299,16.654,12.945,9.925,6.407,3.749,1.685,1.3248,0.4347,0.1428
2019-06-19,169,30.585,28.28,0,26.984,21.317,16.745,13.072,10.416,7.2,4.249,1.428,1.989,0.7814,0.3071
2019-06-20,170,30.924,26.65,0,27.004,21.971,17.358,13.269,10.203,7.007,4.081,1.402,1.6742,0.5473,0.2241
2019-06-21,171,29.924,30.4,0,26.318,20.931,16.23,12.804,10.152,6.58,3.766,1.557,2.3317,0.7597,0.4162
2019-06-22,172,30.203,26.73,0,26.732,21.142,17.121,12.898,9.69,6.705,3.641,1.618,1.8054,0.6298,0.2814
2019-06-23,173,30.558,28.44,0,27.023,21.619,17.191,13.205,10.038,7.173,3.892,1.512,2.1846,0.7182,0.2989
2019-06-24,174,30.491,28.72,0,26.406,21.516,16.543,12.854,9.661,6.919,3.774,1.416,2.0098,0.7283,0.2495
2019-06-25,175,30.755,26.96,0,26.952,21.743,16.891,12.864,10.175,6.361,3.858,1.678,1.781,0.6526,0.296
2019-06-26,176,30.701,30.59,0,27.203,21.877,17.119,12.911,10.22,7.056,4.037,1.677,2.4022,0.8489,0.3474
2019-06-27,177,31.579,24.99,0,27.939,22.105,17.387,13.237,10.26,7.504,3.894,1.524,1.61,0.5566,0.2766
2019-06-28,178,29.704,26.86,0,25.976,20.981,16.04,12.564,9.66,6.71,3.941,1.619,1.8087,0.6569,0.2823
2019-06-29,179,30.329,25.86,0,26.468,21.405,16.428,12.932,9.76,7.258,3.715,1.564,1.7257,0.453,0.1917
2019-06-30,180,30.124,25.45,0,26.373,21.423,16.782,12.708,9.754,6.663,3.678,1.76,1.5557,0.5463,0.2755
2019-07-01,181,30.016,26.62,0,26.695,21.276,16.556,12.952,9.695,6.609,3.455,1.189,1.7636,0.6793,0.2181
2019-07-02,182,30.117,29.3,0,26.552,21.18,16.531,12.911,9.763,6.714,3.751,1.424,2.1736,0.8003,0.3422
2019-07-03,183,29.518,28.84,0,25.806,20.438,16.27,12.36,9.703,6.386,3.96,1.295,2.1292,0.6766,0.2112
2019-07-04,184,30.334,25.82,0,26.395,21.063,16.765,12.37,9.694,6.826,3.801,1.831,1.685,0.5855,0.1462
2019-07-05,185,29.886,26.53,0,26.33,20.698,16.547,12.83,9.789,6.668,3.534,1.21,1.7552,0.5891,0.3626
2019-07-06,186,29.603,26.35,0,25.871,21.128,16.222,12.569,9.681,6.495,3.59,1.539,1.7694,0.5099,0.2176
2019-07-07,187,29.573,27.34,0,25.803,20.757,16.263,12.129,9.601,6.725,3.64,1.745,1.9382,0.8002,0.2844
2019-07-08,188,30.182,27.42,0,26.225,20.613,16.415,12.68,9.769,6.871,3.591,1.949,1.8914,0.6902,0.2902
2019-07-09,189,29.355,28.38,0,25.299,20.635,15.683,12.599,9.288,6.649,3.715,1.282,2.024,0.6179,0.2944
2019-07-10,190,28.838,26.77,0,25.192,19.961,15.892,12.262,9.442,6.441,3.413,1.209,1.6302,0.6618,0.1739
2019-07-11,191,29.659,26.22,0,25.903,20.348,16.211,12.072,9.342,6.761,3.675,1.425,1.6242,0.6262,0.208
2019-07-12,192,29.968,24.26,0,26.183,20.953,16.596,12.62,9.739,6.558,3.601,1.577,1.4853,0.4853,0.2392
2019-07-13,193,28.701,30.27,0,24.969,20.249,16.224,12.291,8.926,6.351,3.548,1.454,2.2984,0.8327,0.3461
2019-07-14,194,29.677,27.41,0,26.064,20.733,16.161,12.789,9.745,6.402,3.627,1.201,1.8878,0.6548,0.2701
2019-07-15,195,29.454,25.62,0,25.779,20.316,15.901,12.241,9.624,6.566,3.414,1.236,1.6702,0.514,0.2428
2019-07-16,196,29.733,25.38,0,26.037,20.368,16.42,12.408,9.48,6.172,3.553,1.467,1.5811,0.5012,0.2999
2019-07-17,197,29.513,28.97,0,25.514,20.673,16.295,12.601,9.69,6.527,3.842,1.321,2.0543,0.7565,0.283
2019-07-18,198,29.423,26.86,0,25.961,20.627,16.125,12.635,9.376,6.529,3.711,0.955,1.8032,0.6296,0.3092
2019-07-19,199,29.372,25.72,0,25.436,20.391,16.075,12.158,9.542,6.338,3.61,1.065,1.5869,0.5496,0.1907
2019-07-20,200,28.892,25.46,0,25.128,19.77,15.527,11.978,9.256,6.472,3.278,0.976,1.5761,0.5188,0.2
2019-07-21,201,27.93,25.57,0,24.126,19.238,15.095,12.309,9.084,6.401,3.256,1.03,1.5732,0.5463,0.2271
2019-07-22,202,27.474,25.53,0,24.043,19.021,14.795,11.102,8.408,6.203,3.196,0.946,1.6722,0.4085,0.148
2019-07-23,203,28.427,25.06,0,25.038,19.82,15.171,12.161,9.038,6.59,3.468,1.056,1.4857,0.4954,0.2384
2019-07-24,204,27.479,24.52,0,23.797,19.062,14.998,11.537,8.695,6.191,3.073,1.069,1.3699,0.4732,0.1732
